"STT","MaLop","TenLop","Khối","CấpHọc","ĐiểmTrường","BuổiHọc"
"1","cls-10cb1","10CB1","Khối 10","THPT","Điểm chính (THPT)","Sáng"
"2","cls-10cb2","10CB2","Khối 10","THPT","Điểm chính (THPT)","Sáng"
"3","cls-10cb3","10CB3","Khối 10","THPT","Điểm chính (THPT)","Sáng"
"4","cls-10cb4","10CB4","Khối 10","THPT","Điểm chính (THPT)","Sáng"
"5","cls-10cb5","10CB5","Khối 10","THPT","Điểm chính (THPT)","Sáng"
"6","cls-11cb1","11CB1","Khối 11","THPT","Điểm chính (THPT)","Sáng"
"7","cls-11cb2","11CB2","Khối 11","THPT","Điểm chính (THPT)","Sáng"
"8","cls-11cb3","11CB3","Khối 11","THPT","Điểm chính (THPT)","Sáng"
"9","cls-11cb4","11CB4","Khối 11","THPT","Điểm chính (THPT)","Sáng"
"10","cls-12cb1","12CB1","Khối 12","THPT","Điểm chính (THPT)","Sáng"
"11","cls-12cb2","12CB2","Khối 12","THPT","Điểm chính (THPT)","Sáng"
"12","cls-12cb3","12CB3","Khối 12","THPT","Điểm chính (THPT)","Sáng"
"13","cls-12cb4","12CB4","Khối 12","THPT","Điểm chính (THPT)","Sáng"
"14","cls-12cb5","12CB5","Khối 12","THPT","Điểm chính (THPT)","Sáng"
"15","cls-6a1","6A1","Khối 6","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"16","cls-6a2","6A2","Khối 6","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"17","cls-6a3","6A3","Khối 6","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"18","cls-6a4","6A4","Khối 6","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"19","cls-6a5","6A5","Khối 6","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"20","cls-6a6","6A6","Khối 6","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"21","cls-6a7","6A7","Khối 6","THCS","Điểm Tân Kiều (THCS)","Chiều"
"22","cls-6a8","6A8","Khối 6","THCS","Điểm Tân Kiều (THCS)","Chiều"
"23","cls-6a9","6A9","Khối 6","THCS","Điểm Tân Kiều (THCS)","Chiều"
"24","cls-6a10","6A10","Khối 6","THCS","Điểm Tân Kiều (THCS)","Chiều"
"25","cls-7a1","7A1","Khối 7","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"26","cls-7a2","7A2","Khối 7","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"27","cls-7a3","7A3","Khối 7","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"28","cls-7a4","7A4","Khối 7","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"29","cls-7a5","7A5","Khối 7","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"30","cls-7a6","7A6","Khối 7","THCS","Điểm Đốc Binh Kiều (THCS)","Chiều"
"31","cls-7a7","7A7","Khối 7","THCS","Điểm Tân Kiều (THCS)","Chiều"
"32","cls-7a8","7A8","Khối 7","THCS","Điểm Tân Kiều (THCS)","Chiều"
"33","cls-7a9","7A9","Khối 7","THCS","Điểm Tân Kiều (THCS)","Chiều"
"34","cls-8a1","8A1","Khối 8","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"35","cls-8a2","8A2","Khối 8","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"36","cls-8a3","8A3","Khối 8","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"37","cls-8a4","8A4","Khối 8","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"38","cls-8a5","8A5","Khối 8","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"39","cls-8a6","8A6","Khối 8","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"40","cls-8a7","8A7","Khối 8","THCS","Điểm Tân Kiều (THCS)","Sáng"
"41","cls-8a8","8A8","Khối 8","THCS","Điểm Tân Kiều (THCS)","Sáng"
"42","cls-8a9","8A9","Khối 8","THCS","Điểm Tân Kiều (THCS)","Sáng"
"43","cls-8a10","8A10","Khối 8","THCS","Điểm Tân Kiều (THCS)","Sáng"
"44","cls-9a1","9A1","Khối 9","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"45","cls-9a2","9A2","Khối 9","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"46","cls-9a3","9A3","Khối 9","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"47","cls-9a4","9A4","Khối 9","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"48","cls-9a5","9A5","Khối 9","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"49","cls-9a6","9A6","Khối 9","THCS","Điểm Đốc Binh Kiều (THCS)","Sáng"
"50","cls-9a7","9A7","Khối 9","THCS","Điểm Tân Kiều (THCS)","Sáng"
"51","cls-9a8","9A8","Khối 9","THCS","Điểm Tân Kiều (THCS)","Sáng"
"52","cls-9a9","9A9","Khối 9","THCS","Điểm Tân Kiều (THCS)","Sáng"
"53","cls-9a10","9A10","Khối 9","THCS","Điểm Tân Kiều (THCS)","Sáng"
