"STT","MãMôn","TênMônHọc","TênViếtTắt","MãTổ"
"1","sub-toan","Toán học","Toán","dept-toan"
"2","sub-van","Ngữ văn","Văn","dept-ngu-van"
"3","sub-anh","Tiếng Anh","Anh","dept-tieng-anh-tin"
"4","sub-li","Vật lí","Lí","dept-khtn"
"5","sub-hoa","Hóa học","Hóa","dept-khtn"
"6","sub-sinh","Sinh học","Sinh","dept-khtn"
"7","sub-khtn-cs","KHTN (THCS)","KHTN","dept-khtn"
"8","sub-su","Lịch sử","Sử","dept-khxh"
"9","sub-dia","Địa lí","Địa","dept-khxh"
"10","sub-lsdl-cs","LS & ĐL (THCS)","LS-ĐL","dept-khxh"
"11","sub-gdcd","Giáo dục công dân","GDCD","dept-khxh"
"12","sub-gdktpl","GDKT & Pháp luật","GDKT&PL","dept-khxh"
"13","sub-tin","Tin học","Tin","dept-tieng-anh-tin"
"14","sub-cn","Công nghệ","Công nghệ","dept-khtn"
"15","sub-gdtc","Giáo dục thể chất","GDTC","dept-gdtc-qpan-nt"
"16","sub-gdqp","GD Quốc phòng & An ninh","GDQP","dept-gdtc-qpan-nt"
"17","sub-qpan","GD Quốc phòng & An ninh","GDQP","dept-gdtc-qpan-nt"
"18","sub-am-nhac","Âm nhạc","Âm nhạc","dept-gdtc-qpan-nt"
"19","sub-my-thuat","Mỹ thuật","Mỹ thuật","dept-gdtc-qpan-nt"
"20","sub-hdtn","HĐ Trải nghiệm, Hướng nghiệp (THPT)","HĐTNHN","dept-ngu-van"
"21","sub-hdtn-cd","HĐTNHN (Chuyên đề)","HĐTNHN (CĐ)","dept-ngu-van"
"22","sub-hdtn-qml","HĐTNHN (Quy mô lớp)","HĐTNHN (QML)","dept-ngu-van"
"23","sub-shl","Sinh hoạt lớp","SHL","dept-ngu-van"
"24","sub-hdtn-shl","Sinh hoạt lớp","SHL","dept-ngu-van"
"25","sub-gddp","Giáo dục địa phương","GD Địa phương","dept-khxh"
"26","sub-chao-co","Chào cờ","Chào cờ","dept-bgh"
